What is the capital of Nigeria?	Abuja
What is 7 times 8?	\b56\b
Solve 3x + 5 = 20. What is x?	\b5\b
What is the boiling point of water in Celsius at sea level?	\b100\b
What is the chemical symbol for gold?	\bAu\b
Who wrote the novel Things Fall Apart?	Achebe
What is the square root of 144?	\b12\b
How many sides does a hexagon have?	\b(six|6)\b
A car accelerates from rest to 30 m/s in 6 seconds. What is its acceleration in m/s^2?	\b5\b
In what year did Nigeria gain independence?	\b1960\b
What is the SI unit of force?	[Nn]ewton
On which continent is the Sahara Desert located?	Africa
What gas do plants absorb from the air during photosynthesis?	([Cc]arbon dioxide|CO2)
What is 15% of 200?	\b30\b
