rank,model,gcp_local_rubric_score,maximum_rubric_score,captured_prompts,finished_finals,truncated_responses,state,mac_local_rubric_score,mac_local_rubric_rank,artifact,model_sha256,source_responses,source_snapshot_sha256,manual_review,review_prefix_sha256,full_prompts_and_responses,rank_basis,local_max_tokens,error
1,Muta Tutor Qwen2.5 1.5B Q4_K_M,47,100,10,10,0,complete_reviewed,44,1,Muta-Tutor-Qwen2.5-1.5B-Finetuned-Q4_K_M.gguf,a750d00d458c6ab38925364ea1413db00648449180941e47025736d09922e1eb,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/first-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,transcripts/gcp-scalar/Muta-Tutor-Qwen2.5-1.5B-Finetuned-Q4_K_M.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
2,Qwen3 1.7B Q4_0,28,100,10,3,7,complete_reviewed,32,2,Qwen3-1.7B-Q4_0.gguf,c876f159707a4e4f70e045106c69db15bfc935a4981706fd4f65c6e7ea1e81c5,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/second-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,transcripts/gcp-scalar/Qwen3-1.7B-Q4_0.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
2,VibeThinker 1.5B Q4_K_M,28,100,10,2,8,complete_reviewed,22,6,VibeThinker-1.5B-q4_k_m.gguf,3df5dae7a65dfd426c8dc58d97ed1247af4b669bc2674c5f9b2b34103b01e164,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/vibethinker-15b.json,53ac6c55279bbed60dedc73e323defe9516ab6863cbc3fa7aeb127fbaebd37fe,transcripts/gcp-scalar/VibeThinker-1.5B-q4_k_m.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
4,LFM2.5 1.2B Thinking Q4_0,25,100,10,2,8,complete_reviewed,25,4,LFM2.5-1.2B-Thinking-Q4_0.gguf,cbabfbf76fdb35f0fc9bc8bf175cbb25173060bc8ff14b9b7d81d3c7a84fc16f,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/first-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,transcripts/gcp-scalar/LFM2.5-1.2B-Thinking-Q4_0.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
5,MiniCPM5 1B pure Q4_0,24,100,10,3,7,complete_reviewed,25,4,MiniCPM5-1B-Q4_0.gguf,1e92f54e9255240420fc8756fc90c75556aea43ca76237d36f2b77f10d3771b2,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/first-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,transcripts/gcp-scalar/MiniCPM5-1B-Q4_0.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
6,LFM2.5 2.6B Q4_0,20,100,10,2,8,complete_reviewed,20,7,LFM2.5-2.6B-Q4_0.gguf,e1a61bf937bc60726e18626e97f7ee9bfd2574d95744c2ed909de98b78006fbe,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/second-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,transcripts/gcp-scalar/LFM2.5-2.6B-Q4_0.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
6,LFM2.5 2.6B QAD-Q4_0,20,100,10,2,8,complete_reviewed,27,3,LFM2.5-2.6B-QAD-Q4_0.gguf,a247afd6414918eac8e520a9e6137dc271235461ecbe1180462221d5b8d40b03,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/lfm-26b-qad.json,1f7590c858e3824e1aa49ec31c8f0b330d6d2f03b6c7818ea746c6561d305117,transcripts/gcp-scalar/LFM2.5-2.6B-QAD-Q4_0.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
6,MiniCPM5 2B Q4_K_M,20,100,10,2,8,complete_reviewed,20,7,MiniCPM5-2B-Q4_K_M.gguf,ec2d5801640099e97d8d7e8003ad4d81f336e757811f03a26173dddf386602fd,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/minicpm-2b.json,ae931387c018c841a13bbd7c02f94d3bc8cfbb2f7a42eace56e07a7261299878,transcripts/gcp-scalar/MiniCPM5-2B-Q4_K_M.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
6,Qwen3.5 2B Q4_K_M,20,100,10,2,8,complete_reviewed,20,7,Qwen3.5-2B-Q4_K_M.gguf,aaf42c8b7c3cab2bf3d69c355048d4a0ee9973d48f16c731c0520ee914699223,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/qwen35-2b-q4km.json,b084080f4f37116556fdeceea4be7a968bd5dd9130abbf4470c7a629351a04a7,transcripts/gcp-scalar/Qwen3.5-2B-Q4_K_M.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
10,Qwen3.5 2B Q4_0,10,100,10,1,9,complete_reviewed,20,7,Qwen3.5-2B-Q4_0.gguf,cd70221bebaee0503e0f6717e174250cd7825aa88438b3aabec9ad55731d9bb1,raw/judges-responses.jsonl,acf72e89dc9de772ac8fa38493a5a103d44c7c579d1b2ba8f687d2eabb77b544,manual-judges-gcp/second-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,transcripts/gcp-scalar/Qwen3.5-2B-Q4_0.gguf/judges.md,GCP_scalar_local_final_answer_rubric_not_official_panel_score,1024,
