test_order,tier,model,gguf_repository,preferred_artifact,bytes,gib,llama_cpp_b10175,license,reasoning_mode,public_evidence,adtc_case,main_risk,recommendation,source_url
0,Baseline,Muta-tuned Qwen2.5-1.5B,timiiowolabi/Muta-Tutor-Qwen2.5-1.5B-ADTC-GGUF,Q4_K_M,986048128,0.918,Compatible,Apache-2.0 base,Non-thinking,ARC-Easy-500 77.8%; Muta synthetic judge 76/100,Measured incumbent,Q4_K_M is slow in the profiler no-AVX build,Control,https://huggingface.co/timiiowolabi/Muta-Tutor-Qwen2.5-1.5B-ADTC-GGUF
1,A,LFM2.5-1.2B-Thinking,LiquidAI/LFM2.5-1.2B-Thinking-GGUF,Q4_0,695751680,0.648,Compatible: lfm2,LFM Open License v1.0,Thinking,MATH-500 87.96; GPQA-D 37.86; IFEval 88.42,Best ready-to-run score challenger,Reasoning truncation; non-Apache license,Benchmark immediately,https://huggingface.co/LiquidAI/LFM2.5-1.2B-Thinking
2,A,MiniCPM5-1B,openbmb/MiniCPM5-1B-GGUF,Custom pure Q4_0 from F16; official Q4_K_M control,688065920,0.641,Compatible: llama,Apache-2.0,Hybrid,MATH-500 91.60; AIME25 40.42; IFEval 80.41,Best expected score per byte after conversion,No official Q4_0; conversion must preserve quality,Benchmark immediately,https://huggingface.co/openbmb/MiniCPM5-1B
3,A,Qwen3.5-2B,unsloth/Qwen3.5-2B-GGUF,Q4_0,1268357529,1.181,Compatible: qwen35,Apache-2.0,Hybrid,MMLU-Pro 66.5 thinking; GPQA 51.6; IFEval 78.6,Best balanced hidden-science hedge,Larger file; GDN timing unknown in generic build,Benchmark immediately,https://huggingface.co/Qwen/Qwen3.5-2B
4,A,Qwen3-1.7B,unsloth/Qwen3-1.7B-GGUF,Q4_0,1078103899,1.004,Compatible,Apache-2.0,Hybrid,MATH-500 93.4 thinking; 73.0 non-thinking,Low architecture-risk reasoning control,Greedy decoding can repeat; weaker science than Qwen3.5,Benchmark immediately,https://huggingface.co/Qwen/Qwen3-1.7B
5,A,LFM2.5-2.6B,LiquidAI/LFM2.5-2.6B-GGUF,Q4_0,1593894912,1.484,Compatible: lfm2,LFM Open License v1.0,Always thinking,AIME25 51.87; strong instruction results,Upper-middle quality experiment,Knowledge-heavy warning; output-cap risk,Benchmark after top four,https://huggingface.co/LiquidAI/LFM2.5-2.6B
6,B,Ministral-3-3B-Reasoning-2512,mistralai/Ministral-3-3B-Reasoning-2512-GGUF,Q4_K_M,2147021472,1.999,Compatible: mistral3,Apache-2.0,Always visible thinking,AIME25 72.1%; GPQA-D 53.4%,Accuracy-max STEM candidate,Slow quant in audit; THINK block may consume cap,Secondary queue,https://huggingface.co/mistralai/Ministral-3-3B-Reasoning-2512
7,B,Qwen3.5-4B,unsloth/Qwen3.5-4B-GGUF,Q4_0,2583221408,2.406,Compatible: qwen35,Apache-2.0,Hybrid,MMLU-Pro 79.1; GPQA 76.2; IFEval 89.8,Highest balanced ceiling under 4B,Likely 5-6 tok/s and much lower efficiency,Accuracy-max fallback,https://huggingface.co/Qwen/Qwen3.5-4B
8,B,Nanbeige4.2-3B,owao/Nanbeige4.2-3B-GGUF,IQ4_XS,2403808096,2.239,Compatible: nanbeige,Check model card,Reasoning,Base: GSM8K 92.7; MMLU-Pro 63.8; GPQA 53.3,High published reasoning ceiling,Loop compute; IQ quant slow; claims need reproduction,Secondary queue,https://huggingface.co/Nanbeige/Nanbeige4.2-3B
9,B,LFM2.5-8B-A1B,LiquidAI/LFM2.5-8B-A1B-GGUF,Q4_0,4844678368,4.512,Compatible: lfm2moe,LFM Open License v1.0,Thinking,MATH-500 88.76; AIME25 42.53; IFEval 91.84,MoE speed wildcard with about 1B active params,Large file leaves little RSS/efficiency headroom,Only after exact RSS audit,https://huggingface.co/LiquidAI/LFM2.5-8B-A1B
10,B,NVIDIA-Nemotron-3-Nano-4B,nvidia/NVIDIA-Nemotron-3-Nano-4B-GGUF,Q4_K_M,2837072864,2.642,Compatible: nemotron,Check NVIDIA license,Reasoning,Modern reasoning-oriented hybrid,Possible science/reasoning alternative,Generic-quant penalty; no clear accuracy-per-byte win,Low-priority benchmark,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-GGUF
11,B,SmolLM3-3B,ggml-org/SmolLM3-3B-GGUF,Q4_K_M,1915305312,1.784,Compatible: smollm3,Apache-2.0,Hybrid,Mature official model and GGUF,Stable 3B control,Lower reasoning ceiling and slow audit quant,Low-priority benchmark,https://huggingface.co/ggml-org/SmolLM3-3B-GGUF
12,B,Jan-v3.5-4B,janhq/Jan-v3.5-4B-gguf,Q4_0,2588332896,2.41,Compatible via Qwen3,Apache-2.0,Hybrid,Math and identity fine-tuning; no adequate quantitative card,Potential tutor-chat control,Personality mismatch; insufficient benchmark evidence,Low-priority benchmark,https://huggingface.co/janhq/Jan-v3.5-4B-gguf
13,B,Qwen3.8-2B-Distill,empero-ai/Qwen3.8-2B-Distill-GGUF,Q4_K_M,1312164224,1.222,Compatible via qwen35,Apache-2.0 claim,Always thinking,Community-reported GSM8K and MMLU results,Experimental teacher-distilled candidate,Community release; recommends 16K output,Research only,https://huggingface.co/empero-ai/Qwen3.8-2B-Distill
14,C,DeepSeek-R1-Distill-Qwen-1.5B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B-GGUF,IQ4_XS control,1098800224,1.023,Compatible via qwen2,MIT model family,Always thinking,MATH 83.9; GPQA 33.8 in prior review,Reasoning baseline,Mixed-science and answer-cap limitations,Control only,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
15,C,Gemma-4-E4B-it,ggml-org/gemma-4-E4B-it-GGUF,Q4_0,4590807392,4.276,Compatible: gemma4,Gemma license,Instruction,No sufficient math-per-byte advantage,Catalogue-size error case,Large file and weak score economics,Exclude,https://huggingface.co/ggml-org/gemma-4-E4B-it-GGUF
16,Watchlist,Spark-X2.5-1.7B,XHToken/Spark-X2.5-1.7B-GGUF,Q4_K_M,1107457856,1.031,Incompatible: spark absent,Apache-2.0,Hybrid,AIME2026 69.4; IFEval 89.5; GPQA 43.8,Would be Tier A after runtime update,Will not load in profiler-pinned b10175,Do not submit under current profiler,https://huggingface.co/XHToken/Spark-X2.5-1.7B
17,Watchlist,Spark-X2.5-4B,XHToken/Spark-X2.5-4B-GGUF,Q4_K_M,2600224352,2.421,Incompatible: spark absent,Apache-2.0,Hybrid,AIME2026 90.7; IFEval 93.0; GPQA 67.4,Future accuracy-max candidate,Will not load in profiler-pinned b10175,Do not submit under current profiler,https://huggingface.co/XHToken/Spark-X2.5-4B
